EXP_ID,Stage,Condition,Area,Circ.,AR,Round,Solidity
Batch1,DIV3,Control,70.313,0.875,1.604,0.624,0.911
Batch1,DIV3,Control,66.177,0.731,2.35,0.425,0.861
Batch1,DIV3,Control,68.245,0.958,1.091,0.917,0.921
Batch1,DIV3,Control,71.692,0.876,1.648,0.607,0.933
Batch1,DIV3,Control,89.614,0.687,2.188,0.457,0.82
Batch1,DIV3,Control,73.76,0.815,1.98,0.505,0.915
Batch1,DIV3,Control,39.982,0.927,1.094,0.914,0.872
Batch1,DIV3,Control,76.517,0.86,1.8,0.556,0.91
Batch1,DIV3,Control,62.041,0.827,1.699,0.589,0.905
Batch1,DIV3,Control,75.828,0.837,1.621,0.617,0.894
Batch1,DIV3,Control,63.419,0.835,1.457,0.686,0.868
Batch1,DIV3,Control,130.975,0.697,2.299,0.435,0.892
Batch1,DIV3,Control,76.517,0.711,2.173,0.46,0.847
Batch1,DIV3,Control,72.381,0.777,2.033,0.492,0.89
Batch1,DIV3,Control,71.002,0.762,2.245,0.445,0.896
Batch1,DIV3,Control,66.866,0.892,1.181,0.847,0.928
Batch1,DIV3,Control,69.624,0.836,1.742,0.574,0.906
Batch1,DIV3,Control,35.156,0.981,1.112,0.899,0.903
Batch1,DIV3,Control,71.002,0.842,1.756,0.57,0.92
Batch1,DIV3,Control,140.626,0.702,1.859,0.538,0.838
Batch1,DIV3,Control,66.866,0.817,1.858,0.538,0.902
Batch1,DIV3,Control,66.866,0.807,1.929,0.518,0.902
Batch1,DIV3,Control,64.109,0.844,1.505,0.664,0.877
Batch1,DIV3,Control,68.934,0.896,1.45,0.689,0.905
Batch1,DIV3,Control,71.002,0.978,1.076,0.929,0.949
Batch1,DIV3,Control,71.692,0.815,1.608,0.622,0.881
Batch1,DIV3,Control,67.556,0.825,1.318,0.759,0.887
Batch1,DIV3,Control,62.73,0.922,1.351,0.74,0.901
Batch1,DIV3,Control,73.07,0.856,1.573,0.636,0.902
Batch1,DIV3,Control,90.304,0.896,1.465,0.683,0.919
Batch1,DIV3,Control,66.866,1,1.107,0.903,0.933
Batch1,DIV3,Control,80.653,0.73,1.347,0.743,0.854
Batch1,DIV3,Control,68.934,0.868,1.319,0.758,0.885
Batch1,DIV3,Control,68.934,0.967,1.268,0.788,0.922
Batch1,DIV3,Control,71.002,0.906,1.324,0.756,0.92
Batch1,DIV3,Control,79.964,0.936,1.182,0.846,0.921
Batch1,DIV3,Control,76.517,0.86,1.701,0.588,0.906
Batch1,DIV3,Control,68.934,0.868,1.703,0.587,0.905
Batch1,DIV3,Control,65.487,0.862,1.573,0.636,0.905
Batch1,DIV3,Control,72.381,0.912,1.396,0.716,0.917
Batch1,DIV3,Control,73.76,0.929,1.42,0.704,0.918
Batch1,DIV3,Control,68.245,0.887,1.527,0.655,0.9
Batch1,DIV3,Control,74.449,0.846,1.167,0.857,0.882
Batch1,DIV3,Control,69.624,0.917,1.2,0.833,0.91
