EXP_ID,GENOTYPE,CONDITION,TRACK_MEAN_SPEED (um/min),TRACK_MAX_SPEED (um/min),TRACK_DURATION (min),TRACK_DISPLACEMENT (um),TOTAL_DISTANCE_TRAVELED (um),CONFINEMENT_RATIO
Batch1,NEUR1,Control,0.289448286,1.018480217,300,14.61974633,88.25126223,0.165660479
Batch1,NEUR1,Control,0.192667964,0.478646802,300,3.005336904,57.80038933,0.051995098
Batch1,NEUR1,Control,0.195249478,0.495286529,300,0.545966687,58.57484353,0.009320839
Batch1,NEUR1,Control,0.94052277,3.275459796,255,63.67553268,239.8333065,0.265499124
Batch1,NEUR1,Control,0.294062763,1.056116344,130,5.995495376,38.2281592,0.15683453
Batch1,NEUR1,Control,0.242836964,0.703967383,300,1.639791568,72.85108923,0.022508813
Batch1,NEUR1,Control,0.197837584,0.465963016,300,2.614565276,59.35127529,0.044052386
Batch1,NEUR1,Control,0.188652776,0.389428249,300,1.164729877,56.59583287,0.020579782
Batch1,NEUR1,Control,0.709346186,1.415161135,75,24.0056817,53.20096397,0.451226442
Batch1,NEUR1,Control,0.73863944,2.470903447,165,41.46897855,121.8755076,0.340256868
Batch1,NEUR1,Control,0.737181852,1.768136637,135,34.70692646,99.51955002,0.348744809
Batch1,NEUR1,Control,0.344468838,1.238923112,300,52.69713218,103.3406515,0.509936133
Batch1,NEUR1,Control,0.568235756,3.249508521,175,13.83236525,99.44125735,0.139100868
Batch1,NEUR1,Control,0.250434863,0.624240481,300,12.43320323,75.13045897,0.165488184
Batch1,NEUR1,Control,0.241589236,0.633675985,300,10.62909399,72.47677087,0.146655181
Batch1,NEUR1,Control,0.263679828,1.012544379,300,29.14902334,79.10394843,0.368490119
Batch1,NEUR1,Control,0.319136397,1.047767612,300,18.11038498,95.74091912,0.189160342
Batch1,NEUR1,Control,0.255380118,1.186399026,295,46.91057609,75.33713493,0.62267534
Batch1,NEUR1,Control,0.309488492,0.944857979,300,15.9524617,92.84654751,0.171815346
Batch1,NEUR1,Control,0.244334821,1.050552948,285,10.8960058,69.6354239,0.156472169
Batch1,NEUR1,Control,0.192014644,0.506882595,230,2.973415294,42.29995141,0.070293587
Batch1,NEUR1,Control,0.421428312,0.421428312,5,2.107141558,2.107141558,1
Batch1,NEUR1,Control,0.324530636,1.017601453,265,29.44166828,85.09328499,0.345992851
Batch1,NEUR1,Control,0.279518074,2.110441022,250,23.18675656,69.87951846,0.33181048
Batch1,NEUR1,Control,0.226031532,0.586146499,195,17.66905933,44.07614872,0.400875753
Batch1,NEUR1,Control,0.504658038,1.210337525,60,13.83360002,30.27948227,0.456863823
Batch1,NEUR1,Control,0.938167073,0.938167073,5,4.690835366,4.690835366,1
Batch1,NEUR1,Control,0.325715672,0.624764805,125,19.27680508,41.6780988,0.462516421
Batch1,NEUR1,Control,0.854288071,2.839900873,160,42.01113492,136.6860913,0.307354863
Batch1,NEUR1,Control,1.117017188,2.152261486,50,24.85582095,55.85085942,0.445039185
Batch1,NEUR1,Control,0.176870927,0.54480029,135,6.129003261,22.47301196,0.272727273
Batch1,NEUR1,Control,0.612089323,2.135544491,75,18.19747729,45.90669924,0.396401344
Batch1,NEUR1,Control,0.371591993,0.756657107,115,17.81563534,42.73307922,0.416905022
Batch1,NEUR1,Control,0.172103453,0.337514188,30,3.155224484,4.019336076,0.785011361
Batch1,NEUR1,Control,0.292600218,1.799301105,110,14.89065268,32.18602397,0.462643435
Batch1,NEUR1,Control,0.28891129,0.894999364,90,11.46105628,26.0020161,0.440775678
Batch1,NEUR1,Control,1.361083003,3.405001811,30,37.13457568,40.8324901,0.90943696
Batch1,NEUR1,Control,0.148581897,0.272400145,55,2.724001449,8.172004348,0.333333333
Batch1,NEUR1,Control,0.392359794,1.17584344,50,11.08432847,19.61798971,0.565008374
Batch1,NEUR1,Control,1.023610015,1.357739171,30,16.74062651,30.70830046,0.545149886
Batch1,NEUR1,Control,0.203164406,0.349602658,45,1.597594462,7.707491517,0.207278134
Batch1,NEUR1,Control,0.115856993,0.115856993,5,0.579284963,0.579284963,1
Batch1,NEUR1,Control,1.498298821,2.241286569,15,20.53660715,22.47448232,0.913774425
Batch1,NEUR1,Control,0.241243927,0.663883358,300,30.29811826,72.37317824,0.418637387
Batch1,NEUR1,Control,0.159206571,0.378358685,95,3.792709319,15.12462422,0.250763871
Batch1,NEUR1,Control,0.29869112,0.85509946,105,15.03884031,31.36256763,0.479515596
Batch1,NEUR1,Control,0.265252371,0.730383315,300,50.12648651,80.03747245,0.626287725
Batch1,NEUR1,Control,0.517554985,1.236283178,255,73.76178196,131.9765211,0.55890079
Batch1,NEUR1,Control,0.231070683,0.680858376,300,1.856681285,69.32120482,0.026783742
Batch1,NEUR1,Control,0.291346685,0.826090796,130,16.72572838,45.89623066,0.364424881
Batch1,NEUR1,Control,0.277079506,0.538121975,40,4.775723045,11.08318023,0.430898257
