EXP_ID,Condition,Stage,Marker,Area cells,Mean in Cells,Mean/Area,Mean in FOV
Batch3,Control,DIV3,Tubb3,107057.469,4496.388,0.04199976,917.553
Batch3,Control,DIV3,Tubb3,367829.781,1592.706,0.004330008,964.093
Batch3,Control,DIV3,Tubb3,137986.828,3487.539,0.025274434,948.329
Batch3,Control,DIV3,Tubb3,147219.188,5552.088,0.037713073,1511.14
Batch3,Control,DIV3,Tubb3,91916.086,5665.981,0.061642975,1013.539
Batch3,Control,DIV3,Tubb3,288405.25,3966.749,0.01375408,1992.707
Batch3,Control,DIV7,Tubb3,413845.375,3795.364,0.009170971,2694.85
Batch3,Control,DIV7,Tubb3,660221.5,2233.778,0.003383377,2143.218
Batch3,Control,DIV7,Tubb3,255382.359,2207.158,0.008642563,1153.742
Batch3,Control,DIV7,Tubb3,565454.312,1433.848,0.002535745,1254.613
Batch3,Control,DIV7,Tubb3,636920.375,1043.175,0.001637842,977.597
Batch3,Control,DIV7,Tubb3,164753.953,2784.281,0.016899631,1043.422
Batch3,Control,DIV7,Tubb3,120296.953,3046.89,0.025328073,861.789
Batch3,Control,DIV7,Tubb3,150188.859,1427.272,0.009503182,525.458
Batch3,Control,DIV7,Tubb3,477097.969,2532.16,0.005307421,2024.765
Batch3,Control,DIV7,Tubb3,241526.594,1981.537,0.008204219,1093.129
Batch3,Control,DIV7,Tubb3,166745.469,1225.209,0.00734778,577.9
Batch3,Control,DIV7,Tubb3,424502.594,2674.186,0.006299575,1963.597
Batch3,DZ-2384,DIV3,Tubb3,17327.283,8335.453,0.481059437,515.897
Batch3,DZ-2384,DIV3,Tubb3,38895.395,4389.236,0.112847189,457.941
Batch3,DZ-2384,DIV3,Tubb3,32356.992,4304.856,0.133042528,418.857
Batch3,DZ-2384,DIV3,Tubb3,35663.762,3943.39,0.110571341,375.839
Batch3,DZ-2384,DIV3,Tubb3,24978.973,8135.381,0.325689171,539.39
Batch3,DZ-2384,DIV3,Tubb3,32657.545,12181.646,0.373011688,962.858
Batch3,Spastazoline,DIV3,Tubb3,410907.406,1145.087,0.002786728,751.194
Batch3,Spastazoline,DIV3,Tubb3,268255.812,2061.331,0.007684199,965.354
Batch3,Spastazoline,DIV3,Tubb3,137360.219,2939.163,0.021397483,740.835
Batch3,Spastazoline,DIV3,Tubb3,435301.812,1235.356,0.00283793,849.389
Batch3,Taxol,DIV3,Tubb3,114571.977,1648.143,0.014385219,407.584
Batch3,Taxol,DIV3,Tubb3,167876.672,2513.714,0.014973575,769.649
Batch3,Taxol,DIV3,Tubb3,138377,2664.732,0.019257044,669.663
Batch3,Taxol,DIV3,Tubb3,127594.32,2188.693,0.01715353,537.007
Batch3,Trichostatin,DIV3,Tubb3,492559.875,1459.274,0.002962633,1097.086
Batch3,Trichostatin,DIV3,Tubb3,440170.625,2400.311,0.005453138,1650.331
Batch3,Trichostatin,DIV3,Tubb3,415372.969,2039.21,0.004909347,1330.904
Batch3,Trichostatin,DIV3,Tubb3,232833.312,4234.075,0.018185005,1681.359
